Omega	Omega_uncer	MA1	MS1	alpha	svev
0.000300653	2.30417e-05	453.208	733.293	0.515777	843.489
9.37651e-05	2.46292e-05	885.611	218.407	0.924182	35.23
0.00189856	9.76729e-05	487.501	718.936	0.206891	734.141
2.98812	0.029994	947.406	191.075	0.581544	820.529
0.000383466	2.61096e-05	449.004	460.368	-1.14821	154.609
0.0527301	0.00121129	814.886	868.547	1.47092	950.956
0.00433533	0.000344628	434.465	125.104	0.0211465	100.344
0.089454	0.00355411	608.524	206.717	0.477216	331.467
0.0727316	0.00176067	890.011	365.309	-1.35531	316.763
0.00557025	0.000230233	533.716	586.978	1.13663	862.905
0.312558	0.0113541	355.915	273.206	-1.49673	428.229
1.16817e-05	1.58263e-06	414.281	826.203	-0.512007	708.977
0.00152358	7.1978e-05	336.571	430.199	1.09357	472.064
0.000360509	1.4783e-05	348.746	874.172	-1.04211	816.486
5.25203	0.0426445	949.276	55.2338	0.814058	675.343
0.000666347	2.14904e-05	211.951	704.394	0.376292	411.614
0.0136731	0.000323995	119.704	546.024	-1.21488	688.681
0.000472421	4.12506e-06	183.002	412.475	0.361003	975.117
0.24676	0.0308865	635.681	362.454	-0.0386887	638.847
0.0465344	0.00128498	238.658	316.619	-1.3964	824.883
0.0818177	0.00386838	696.818	697.918	0.0880655	903.703
0.21746	0.00380058	622.09	384.203	-1.41175	696.622
0.141965	0.0036513	389.436	248.697	0.423646	809.939
0.000775341	0.000170275	903.091	898.697	0.179376	255.373
0.0381131	0.000938668	494.721	630.932	-1.49123	670.718
0.00968507	0.000218108	93.407	300.851	0.445837	640.598
4.05214e-06	2.64058e-06	613.305	908.877	0.625134	130.47
0.000216801	7.0175e-06	275.496	642.295	1.05405	754.744
0.505187	0.0275601	390.213	103.878	1.47416	364.183
5.11762e-06	1.08267e-06	438.081	796.652	-1.52785	20.8446
0.0122903	0.00029556	95.349	862.834	0.968719	648.872
1.91669	0.0308484	811.532	82.2542	1.56535	366.084
1.45621e-07	1.07925e-06	663.187	647.449	-0.501773	24.5705
21.6254	0.150425	898.3	150.615	0.721148	982.213
0.000187828	1.81333e-05	109.492	214.73	0.215043	429.106
0.000886496	7.51439e-05	807.025	740.76	-0.576	404.561
0.0144197	0.00060558	794.638	325.18	-0.882304	286.606
0.000180857	7.71075e-06	171.833	843.211	-0.758453	233.591
0.00010323	2.77981e-05	756.045	439.142	-0.987222	67.8627
0.00512771	0.000601253	471.396	236.856	0.410419	184.84
0.00282386	0.000155975	834.305	907.804	-1.10101	970.95
0.00761451	0.000179433	108.419	326.858	0.986479	879.206
0.000162474	1.5823e-05	491.588	757.779	-1.15921	383.074
0.000369498	3.25947e-05	548.539	710.202	-0.52844	448.218
0.0236514	0.000471364	85.3824	755.393	-0.372883	551.395
0.00192988	0.000114287	648.604	686.133	-1.02201	640.245
0.00250614	6.90697e-05	175.274	540.018	-0.158306	361.08
0.0113328	0.000459654	726.875	96.0538	0.337443	81.1697
0.0315389	1.78098e-05	53.8582	622.429	0.388092	757.191
0.00489229	0.000245784	899.287	787.996	-1.35341	438.102
0.000600577	5.991e-05	595.775	633.088	-0.206386	201.01
0.0241769	0.000700511	393.29	335.339	-1.06705	766.332
0.0146732	0.000465262	140.733	213.386	-0.24898	542.114
0.000629978	6.14513e-05	849.519	910.284	0.835443	595.835
0.0539158	0.00192237	500.303	316.21	-1.48425	216.324
0.00351556	0.000139358	362.264	402.717	-0.777798	635.325
